frame,track_id,class,confidence,x1,y1,x2,y2
0,9,0,0.7990368008613586,1071.60107421875,370.4730529785156,1082.94140625,410.8428649902344
1,9,0,0.8139687180519104,1071.75537109375,370.6810302734375,1083.128662109375,411.1650085449219
2,9,0,0.8148552179336548,1071.780517578125,370.71624755859375,1083.1600341796875,411.2185974121094
3,9,0,0.8181543946266174,1071.8212890625,370.7578430175781,1083.2042236328125,411.2679443359375
4,9,0,0.820059061050415,1071.8077392578125,370.8061828613281,1083.2042236328125,411.3255310058594
5,9,0,0.808290421962738,1071.91015625,370.8204345703125,1083.2923583984375,411.26544189453125
6,9,0,0.8016930222511292,1072.10791015625,370.8942565917969,1083.46044921875,411.2465515136719
7,9,0,0.7827519178390503,1072.2513427734375,370.89117431640625,1083.6005859375,411.2640075683594
8,9,0,0.7915011644363403,1072.308349609375,370.903564453125,1083.675537109375,411.377197265625
9,9,0,0.7807725667953491,1072.333740234375,370.8858337402344,1083.7362060546875,411.4775695800781
10,9,0,0.7805218696594238,1072.33935546875,370.8774719238281,1083.755126953125,411.5082702636719
11,9,0,0.7828119993209839,1072.40478515625,370.92919921875,1083.79736328125,411.49212646484375
12,9,0,0.7888409495353699,1072.506103515625,371.142578125,1083.870361328125,411.63983154296875
13,9,0,0.7830797433853149,1072.5504150390625,371.07440185546875,1083.965087890625,411.78106689453125
14,9,0,0.7837302088737488,1072.630126953125,371.08978271484375,1084.055419921875,411.9100341796875
15,9,0,0.7826897501945496,1072.7860107421875,371.1456298828125,1084.1845703125,411.94952392578125
16,9,0,0.7841747999191284,1072.8695068359375,371.2005310058594,1084.25341796875,412.04766845703125
17,9,0,0.7913122177124023,1073.053955078125,371.28082275390625,1084.375244140625,412.0352783203125
18,9,0,0.792669951915741,1073.134521484375,371.3314208984375,1084.4267578125,412.09112548828125
19,9,0,0.7870310544967651,1073.1942138671875,371.23236083984375,1084.5018310546875,412.1219482421875
20,9,0,0.7845888137817383,1073.21923828125,371.1445617675781,1084.53271484375,412.13470458984375
21,9,0,0.7890915274620056,1073.1788330078125,371.1044616699219,1084.4691162109375,412.22503662109375
22,9,0,0.7808003425598145,1072.9417724609375,370.96160888671875,1084.287841796875,412.1745910644531
23,9,0,0.7825446724891663,1073.11865234375,370.7845153808594,1084.4989013671875,412.18133544921875
24,9,0,0.7801048755645752,1073.3858642578125,370.6195068359375,1084.7620849609375,412.1041564941406
25,9,0,0.7755564451217651,1073.4029541015625,370.5134582519531,1084.81298828125,412.1443786621094
26,9,0,0.7741053104400635,1073.40283203125,370.5056457519531,1084.8140869140625,412.1605224609375
27,9,0,0.7769662141799927,1073.4354248046875,370.5807800292969,1084.8741455078125,412.158935546875
28,9,0,0.7820291519165039,1073.4234619140625,370.608642578125,1084.9384765625,412.1614685058594
29,9,0,0.782130241394043,1073.3953857421875,370.6234436035156,1084.982421875,412.1625061035156
30,9,0,0.7821650505065918,1073.363037109375,370.63006591796875,1085.016845703125,412.16204833984375
31,9,0,0.7766979932785034,1073.124755859375,370.66790771484375,1084.896484375,412.24676513671875
32,9,0,0.7819790840148926,1073.106201171875,370.6954040527344,1084.9473876953125,412.2671813964844
33,9,0,0.7747175693511963,1073.2740478515625,370.6466979980469,1085.144287109375,412.2420959472656
34,9,0,0.7748490571975708,1073.103515625,370.5892333984375,1085.06640625,412.28045654296875
35,9,0,0.7749548554420471,1073.0164794921875,370.569091796875,1085.0487060546875,412.2918701171875
36,9,0,0.7793628573417664,1072.9622802734375,370.57366943359375,1085.0919189453125,412.48004150390625
37,9,0,0.7768075466156006,1072.9332275390625,370.6077880859375,1085.118896484375,412.5576477050781
38,9,0,0.7778283357620239,1072.9036865234375,370.5950622558594,1085.144775390625,412.6004943847656
39,9,0,0.7776516079902649,1072.8865966796875,370.5911560058594,1085.16748046875,412.6144714355469
40,9,0,0.7776897549629211,1072.87109375,370.5903015136719,1085.1846923828125,412.61810302734375
41,9,0,0.7728087306022644,1073.0784912109375,370.5731201171875,1085.40380859375,412.6974182128906
42,9,0,0.7688396573066711,1072.864501953125,370.59600830078125,1085.2354736328125,412.68292236328125
43,9,0,0.7691828608512878,1072.7227783203125,370.6116027832031,1085.146728515625,412.6611022949219
44,9,0,0.7686285972595215,1072.6444091796875,370.5841064453125,1085.1455078125,412.6378479003906
45,9,0,0.7631980776786804,1072.4500732421875,370.5486145019531,1085.05908203125,412.606689453125
46,9,0,0.7632143497467041,1072.552001953125,370.5431213378906,1085.1778564453125,412.5670166015625
47,9,0,0.7652714848518372,1072.625,370.5571594238281,1085.2545166015625,412.5401916503906
48,9,0,0.7655553817749023,1072.5823974609375,370.56707763671875,1085.239013671875,412.53607177734375
49,9,0,0.7646070122718811,1072.7806396484375,370.5848693847656,1085.408203125,412.55853271484375
50,9,0,0.767477810382843,1072.96875,370.5081787109375,1085.5523681640625,412.56903076171875
51,9,0,0.7647799253463745,1073.0970458984375,370.56451416015625,1085.61572265625,412.60736083984375
52,9,0,0.7682088613510132,1073.5284423828125,370.98223876953125,1085.7486572265625,412.3139343261719
53,9,0,0.7668707966804504,1073.7142333984375,371.1319885253906,1085.770263671875,412.18670654296875
54,9,0,0.7653952836990356,1073.7982177734375,371.18280029296875,1085.7574462890625,412.1636657714844
55,9,0,0.7654868960380554,1073.849853515625,371.1999206542969,1085.7320556640625,412.1512145996094
56,9,0,0.7703554630279541,1073.4853515625,370.8592224121094,1085.515869140625,412.39605712890625
57,9,0,0.7688342332839966,1073.436767578125,370.74566650390625,1085.4866943359375,412.49578857421875
58,9,0,0.7631049752235413,1073.410888671875,370.68255615234375,1085.453125,412.5228576660156
59,9,0,0.7644771933555603,1073.4461669921875,370.6648864746094,1085.45703125,412.5341796875
60,9,0,0.7648178935050964,1073.470703125,370.6548767089844,1085.451416015625,412.548828125
61,9,0,0.7618049383163452,1073.5208740234375,370.59661865234375,1085.4422607421875,412.4253845214844
62,9,0,0.7593610286712646,1073.52197265625,370.5543212890625,1085.4154052734375,412.3926086425781
63,9,0,0.7610251307487488,1073.8194580078125,370.9342346191406,1085.4864501953125,412.1054382324219
64,9,0,0.7727082371711731,1073.9989013671875,370.98382568359375,1085.5650634765625,411.9814453125
65,9,0,0.7619311809539795,1074.025146484375,371.023193359375,1085.5361328125,411.937255859375
66,9,0,0.7630271315574646,1073.744140625,370.5851745605469,1085.4281005859375,412.1811828613281
67,9,0,0.7629289031028748,1073.5384521484375,370.4638366699219,1085.295654296875,412.29693603515625
68,9,0,0.7688289284706116,1073.5457763671875,370.46466064453125,1085.2908935546875,412.2900695800781
69,9,0,0.7662304043769836,1073.8367919921875,370.8194274902344,1085.390380859375,412.048583984375
70,9,0,0.7608557939529419,1073.56689453125,370.4969482421875,1085.275634765625,412.24444580078125
71,9,0,0.7629139423370361,1073.426513671875,370.40283203125,1085.203369140625,412.32843017578125
72,9,0,0.7629196047782898,1073.3939208984375,370.3673095703125,1085.20068359375,412.3594055175781
73,9,0,0.7625691294670105,1073.39892578125,370.3551025390625,1085.215576171875,412.3641052246094
74,9,0,0.7635911703109741,1073.4320068359375,370.38018798828125,1085.2353515625,412.34246826171875
75,9,0,0.763238787651062,1073.4268798828125,370.3926696777344,1085.2393798828125,412.3802795410156
76,9,0,0.7625632882118225,1073.4215087890625,370.4104309082031,1085.22998046875,412.36566162109375
77,9,0,0.7625356316566467,1073.42041015625,370.4183654785156,1085.2322998046875,412.37255859375
78,9,0,0.7674635648727417,1073.51904296875,370.4480285644531,1085.2674560546875,412.2061462402344
79,9,0,0.7629854083061218,1073.466064453125,370.4249267578125,1085.2501220703125,412.30035400390625
80,9,0,0.7625523805618286,1073.463623046875,370.4125061035156,1085.263671875,412.3587951660156
81,9,0,0.7686158418655396,1073.590576171875,370.4482727050781,1085.3355712890625,412.2951354980469
